Source_ID	Strain	Supergroup	Phylum	Class	Order	Family	Genus	Species	Notes
MMETSP1472	RCC251	Archaeplastida	Chlorophyta	Prasinophyte	Pycnococcaceae	Incertae sedis	Pycnococcus	Pycnococcus provasolii	Leliaert et al. 2012
MMETSP1085	CCMP1998	Archaeplastida	Chlorophyta	Prasinophyte	Pycnococcaceae	Incertae sedis	Pycnococcus	Pycnococcus sp	Leliaert et al. 2012
MMETSP1438	CCMP1384	Archaeplastida	Chlorophyta	Prasinophyte	Pyramimonadales	Pterospermataceae	Pterosperma	Pterosperma	Leliaert et al. 2012
MMETSP1081	CCMP720	Archaeplastida	Chlorophyta	Prasinophyte	Pyramimonadales	Pyramimonadaceae	Pyramimonas	Pyramimonas amylifera	Leliaert et al. 2012
MMETSP1169	CCMP722	Archaeplastida	Chlorophyta	Prasinophyte	Pyramimonadales	Pyramimonadaceae	Pyramimonas	Pyramimonas obovata	Leliaert et al. 2012
MMETSP0058	CCMP726	Archaeplastida	Chlorophyta	Prasinophyte	Pyramimonadales	Pyramimonadaceae	Pyramimonas	Pyramimonas parkeae	Leliaert et al. 2012
MMETSP0059	CCMP726	Archaeplastida	Chlorophyta	Prasinophyte	Pyramimonadales	Pyramimonadaceae	Pyramimonas	Pyramimonas parkeae	Leliaert et al. 2012
MMETSP1445	CCMP2087	Archaeplastida	Chlorophyta	Prasinophyte	Pyramimonadales	Pyramimonadaceae	Pyramimonas	Pyramimonas sp.	Leliaert et al. 2012
MMETSP1161	CCMP2329	Archaeplastida	Chlorophyta	Trebouxiophyceae	Incertae sedis	Incertae sedis	Picochlorum	Picochlorum oklahomensis	Leliaert et al. 2012
MMETSP1330	RCC944	Archaeplastida	Chlorophyta	Trebouxiophyceae	Incertae sedis	Incertae sedis	Picochlorum	Picochlorum sp.	Leliaert et al. 2012
MMETSP1473	RCC1054	Archaeplastida	Chlorophyta	Trebouxiophyceae	Prasiola	Prasiolaceae	Stichococcus	Stichococcus sp	Leliaert et al. 2012
MMETSP1309	RCC998	Archaeplastida	Chlorophyta	Uncertain	Uncertain	Uncertain	Uncertain	Uncertain	Not described
MMETSP1310	RCC2339	Archaeplastida	Chlorophyta	Uncertain	Uncertain	Uncertain	Uncertain	Uncertain	Not described
MMETSP1311	RCC856	Archaeplastida	Chlorophyta	Uncertain	Uncertain	Uncertain	Uncertain	Uncertain	Not described
MMETSP1312	RCC2335	Archaeplastida	Chlorophyta	Uncertain	Uncertain	Uncertain	Uncertain	Uncertain	Not described
MMETSP1446	CCMP2111	Archaeplastida	Chlorophyta	Uncertain	Uncertain	Uncertain	Uncertain	Uncertain	Not described
MMETSP1453	RCC701	Archaeplastida	Chlorophyta	Uncertain	Uncertain	Uncertain	Uncertain	Uncertain	Not described
MMETSP1456	RCC1871	Archaeplastida	Chlorophyta	Uncertain	Uncertain	Uncertain	Uncertain	Uncertain	Not described
MMETSP1469	CCMP1205	Archaeplastida	Chlorophyta	Uncertain	Uncertain	Uncertain	Uncertain	Uncertain	Not described
MMETSP1470	CCMP2175	Archaeplastida	Chlorophyta	Uncertain	Uncertain	Uncertain	Uncertain	Uncertain	Not described
MMETSP1475	CCMP1999	Archaeplastida	Chlorophyta	Uncertain	Uncertain	Uncertain	Uncertain	Uncertain	Not described
MMETSP0308	SAG 46.84	Archaeplastida	Glaucophyta	Glaucophyceae	Glaucocystales	Glaucocystaceae	Gloeochaete	Gloeochaete wittrockiana	Archibald 2018
MMETSP1089	SAG46.84	Archaeplastida	Glaucophyta	Glaucophyceae	Glaucocystales	Glaucocystaceae	Gloeochaete	Gloeochaete wittrockiana	Archibald 2018
MMETSP0312	SAG 36.94	Archaeplastida	Rhodophyta	Compsopogonophyceae	Compsopogonales	Compsopogonaceae	Compsopogon	Compsopogon coeruleus	Archibald 2018
MMETSP1450	CCMP3234	Archaeplastida	Rhodophyta	Compsopogonophyceae	Erythropeltidales	Incertae sedis	Madagascaria	Madagascaria erythrocladiodes	Archibald 2018
AddRef0015	10D	Archaeplastida	Rhodophyta	Cyanidiophyceae	Cyanidiales	Cyanidiaceae	Cyanidioschyzon	Cyanidioschyzon merolae	Archibald 2018
AddRef0019	074W	Archaeplastida	Rhodophyta	Cyanidiophyceae	Cyanidiales	Galdieriaceae	Galdieria	Galdieria sulphuraria	Archibald 2018
AddRef0011	Stackhouse	Archaeplastida	Rhodophyta	Florideophyceae	Gigartinales	Gigartinaceae	Chondrus	Chondrus crispus	Archibald 2018
MMETSP1353	CCMP3124	Archaeplastida	Rhodophyta	Porphyridiophyceae	Porphyridiales	Porphyridiaceae	Erythrolobus	Erythrolobus australicus	Archibald 2018
MMETSP1354	CCMP3276	Archaeplastida	Rhodophyta	Porphyridiophyceae	Porphyridiales	Porphyridiaceae	Erythrolobus	Erythrolobus madagascarensis	Archibald 2018
MMETSP1172	CCMP3278	Archaeplastida	Rhodophyta	Porphyridiophyceae	Porphyridiales	Porphyridiaceae	Timspurckia	Timspurckia oligopyrenoides	Archibald 2018
MMETSP0313	SAG 1380-2	Archaeplastida	Rhodophyta	Porphyridiophyceae	Porphyridiales	Porphyridiaceae	Porphyridium	Porphyridium aerugineum	Archibald 2018
MMETSP0167	CCMP736	Archaeplastida	Rhodophyta	Rhodellophyceae	Rhodellales	Rhodellaceae	Rhodella	Rhodella maculata	Archibald 2018
MMETSP0314	CCMP736	Archaeplastida	Rhodophyta	Rhodellophyceae	Rhodellales	Rhodellaceae	Rhodella	Rhodella maculata	Archibald 2018
MMETSP0011	CCMP 769	Archaeplastida	Rhodophyta	Stylonematophyceae	Stylonematales	Stylonemataceae	Rhodosorus	Rhodosorus marinus	Archibald 2018
MMETSP0315	UTEX LB 2760	Archaeplastida	Rhodophyta	Stylonematophyceae	Stylonematales	Stylonemataceae	Rhodosorus	Rhodosorus marinus	Archibald 2018
MMETSP0047	CCMP1168	Cryptista	Cryptophyta	Cryptophyceae	Cryptomonadales	Incertae sedis	Chroomonas	Chroomonas mesostigmatica cf	Archibald 2018
MMETSP1050	CCAP979/52	Cryptista	Cryptophyta	Cryptophyceae	Cryptomonadales	Incertae sedis	Cryptomonas	Cryptomonas curvata	Archibald 2018
MMETSP0038	CCAP977/2a	Cryptista	Cryptophyta	Cryptophyceae	Cryptomonadales	Incertae sedis	Cryptomonas	Cryptomonas paramecium	Archibald 2018
MMETSP0799	CCMP2564	Cryptista	Cryptophyta	Cryptophyceae	Cryptomonadales	Incertae sedis	Geminigera	Geminigera cryophila	Archibald 2018
MMETSP1102	Caron Lab Isolate	Cryptista	Cryptophyta	Cryptophyceae	Cryptomonadales	Incertae sedis	Geminigera	Geminigera sp.	Archibald 2018
MMETSP0046	CCMP 2712	Cryptista	Cryptophyta	Cryptophyceae	Cryptomonadales	Incertae sedis	Guillardia	Guillardia theta	Archibald 2018
MMETSP1048	CCMP325	Cryptista	Cryptophyta	Cryptophyceae	Cryptomonadales	Incertae sedis	Hanusia	Hanusia phi	Archibald 2018
MMETSP0043	CCMP644	Cryptista	Cryptophyta	Cryptophyceae	Cryptomonadales	Incertae sedis	Hemiselmis	Hemiselmis andersenii	Archibald 2018
MMETSP1041	CCMP439	Cryptista	Cryptophyta	Cryptophyceae	Cryptomonadales	Incertae sedis	Hemiselmis	Hemiselmis andersenii	Archibald 2018
MMETSP1042	CCMP1180	Cryptista	Cryptophyta	Cryptophyceae	Cryptomonadales	Incertae sedis	Hemiselmis	Hemiselmis andersenii	Archibald 2018
MMETSP1043	CCMP441	Cryptista	Cryptophyta	Cryptophyceae	Cryptomonadales	Incertae sedis	Hemiselmis	Hemiselmis andersenii	Archibald 2018
MMETSP1357	PCC563	Cryptista	Cryptophyta	Cryptophyceae	Cryptomonadales	Incertae sedis	Hemiselmis	Hemiselmis rufescens	Archibald 2018
MMETSP1355	CCMP443	Cryptista	Cryptophyta	Cryptophyceae	Cryptomonadales	Incertae sedis	Hemiselmis	Hemiselmis tepida	Archibald 2018
MMETSP1356	PCC157	Cryptista	Cryptophyta	Cryptophyceae	Cryptomonadales	Incertae sedis	Hemiselmis	Hemiselmis viresens	Archibald 2018
MMETSP1049	CCMP704	Cryptista	Cryptophyta	Cryptophyceae	Cryptomonadales	Incertae sedis	Proteomonas	Proteomonas sulcata	Archibald 2018
MMETSP1101	Caron Lab Isolate	Cryptista	Cryptophyta	Cryptophyceae	Cryptomonadales	Incertae sedis	Rhodomonas	Rhodomonas abbreviata	Archibald 2018
MMETSP0484	RHODO	Cryptista	Cryptophyta	Cryptophyceae	Cryptomonadales	Incertae sedis	Rhodomonas	Rhodomonas lens	Archibald 2018
MMETSP1047	CCMP1319	Cryptista	Cryptophyta	Cryptophyceae	Cryptomonadales	Incertae sedis	Rhodomonas	Rhodomonas salina	Archibald 2018
MMETSP1091	CCMP768	Cryptista	Cryptophyta	Cryptophyceae	Cryptomonadales	Incertae sedis	Rhodomonas	Rhodomonas sp.	Archibald 2018
MMETSP1389	CCMP768	Cryptista	Cryptophyta	Cryptophyceae	Cryptomonadales	Incertae sedis	Rhodomonas	Rhodomonas sp.	Archibald 2018
MMETSP0107	CCMP1869	Cryptista	Cryptophyta	Cryptophyceae	Goniomonas	Incertae sedis	Goniomonas	Goniomonas Pacifica	Archibald 2018
MMETSP0108	CCMP1869	Cryptista	Cryptophyta	Cryptophyceae	Goniomonas	Incertae sedis	Goniomonas	Goniomonas Pacifica	Archibald 2018
MMETSP0114	m	Cryptista	Cryptophyta	Cryptophyceae	Goniomonas	Incertae sedis	Goniomonas	Goniomonas sp	Archibald 2018
MMETSP0780	NIES-2562	Cryptista	Cryptophyta	Palpitea	Incertae sedis	Incertae sedis	Palpitomonas	Palpitomonas bilix	Archibald 2018
MMETSP0986	CCMP2293	Cryptista	Cryptophyta	Uncertain	Uncertain	Uncertain	Uncertain	Uncertain	Not described
MMETSP0987	CCMP2293	Cryptista	Cryptophyta	Uncertain	Uncertain	Uncertain	Uncertain	Uncertain	Not described
MMETSP0988	CCMP2293	Cryptista	Cryptophyta	Uncertain	Uncertain	Uncertain	Uncertain	Uncertain	Not described
MMETSP0989	CCMP2293	Cryptista	Cryptophyta	Uncertain	Uncertain	Uncertain	Uncertain	Uncertain	Not described
MMETSP0039	NIES-381	Discoba	Euglenida	Euglenophyceae	Eutreptiales	Incertae sedis	Eutreptiella	Eutreptiella gymnastica	Archibald 2018
MMETSP0809	CCMP1594	Discoba	Euglenida	Euglenophyceae	Eutreptiales	Incertae sedis	Eutreptiella	Eutreptiella gymnastica-like	Archibald 2018
MMETSP0810	CCMP1594	Discoba	Euglenida	Euglenophyceae	Eutreptiales	Incertae sedis	Eutreptiella	Eutreptiella gymnastica-like	Archibald 2018
MMETSP0811	CCMP1594	Discoba	Euglenida	Euglenophyceae	Eutreptiales	Incertae sedis	Eutreptiella	Eutreptiella gymnastica-like	Archibald 2018
MMETSP0758	AE-1 (ATCC 50343)	Discoba	Heterolobosea	Tetramitia	Percolatea	Percolomonadidae	Percolomonas	Percolomonas cosmopolitus	Archibald 2018
MMETSP0759	WS	Discoba	Heterolobosea	Tetramitia	Percolatea	Percolomonadidae	Percolomonas	Percolomonas cosmopolitus	Archibald 2018
AddRef0023	NEG-M	Discoba	Heterolobosea	Tetramitia	Vahlkampfidae	Incertae sedis	Naegleria	Naegleria gruberi	Archibald 2018
MMETSP1114	CCAP 1951/1	Discoba	Kinetoplastea	Metakinetoplastina	Neobodonida	Incertae sedis	Neobodo	Neobodo designis	Archibald 2018
MMETSP1334	RCC1130	Haptophytes	Haptophyta	Coccolithophyceae	Coccolithales	Calcidiscaceae	Calcidiscus	Calcidiscus leptoporus	Archibald 2018
MMETSP0164	PLY182g	Haptophytes	Haptophyta	Coccolithophyceae	Coccolithales	Coccolithaceae	Coccolithus	Coccolithus pelagicus ssp braarudi	Archibald 2018
MMETSP1136	CCMP645	Haptophytes	Haptophyta	Coccolithophyceae	Isochrysidales	Isochrysidaceae	Pleurochrysis	Pleurochrysis carterae	Archibald 2018, also known by genera Chrysotila
MMETSP1137	CCMP645	Haptophytes	Haptophyta	Coccolithophyceae	Isochrysidales	Isochrysidaceae	Pleurochrysis	Pleurochrysis carterae	Archibald 2018, also known by genera Chrysotila
MMETSP1138	CCMP645	Haptophytes	Haptophyta	Coccolithophyceae	Isochrysidales	Isochrysidaceae	Pleurochrysis	Pleurochrysis carterae	Archibald 2018, also known by genera Chrysotila
MMETSP0595	CCMP1323	Haptophytes	Haptophyta	Coccolithophyceae	Isochrysidales	Isochrysidaceae	Isochrysis	Isochrysis galbana	Archibald 2018
MMETSP0943	CCMP1323	Haptophytes	Haptophyta	Coccolithophyceae	Isochrysidales	Isochrysidaceae	Isochrysis	Isochrysis galbana	Archibald 2018
MMETSP0944	CCMP1323	Haptophytes	Haptophyta	Coccolithophyceae	Isochrysidales	Isochrysidaceae	Isochrysis	Isochrysis galbana	Archibald 2018
MMETSP1090	CCMP1244	Haptophytes	Haptophyta	Coccolithophyceae	Isochrysidales	Isochrysidaceae	Isochrysis	Isochrysis sp	Archibald 2018
MMETSP1388	CCMP1244	Haptophytes	Haptophyta	Coccolithophyceae	Isochrysidales	Isochrysidaceae	Isochrysis	Isochrysis sp	Archibald 2018
MMETSP1129	CCMP1324	Haptophytes	Haptophyta	Coccolithophyceae	Isochrysidales	Isochrysidaceae	Isochrysis	Isochrysis sp.	Archibald 2018
MMETSP1130	CCMP1324	Haptophytes	Haptophyta	Coccolithophyceae	Isochrysidales	Isochrysidaceae	Isochrysis	Isochrysis sp.	Archibald 2018
MMETSP1131	CCMP1324	Haptophytes	Haptophyta	Coccolithophyceae	Isochrysidales	Isochrysidaceae	Isochrysis	Isochrysis sp.	Archibald 2018
MMETSP1132	CCMP1324	Haptophytes	Haptophyta	Coccolithophyceae	Isochrysidales	Isochrysidaceae	Isochrysis	Isochrysis sp.	Archibald 2018
AddRef0018	CCMP1516	Haptophytes	Haptophyta	Coccolithophyceae	Isochrysidales	Noelhaerhabdaceae	Emiliania	Emiliania huxleyi	Archibald 2018
MMETSP0994	379	Haptophytes	Haptophyta	Coccolithophyceae	Isochrysidales	Noelhaerhabdaceae	Emiliania	Emiliania huxleyi	Archibald 2018
MMETSP0995	379	Haptophytes	Haptophyta	Coccolithophyceae	Isochrysidales	Noelhaerhabdaceae	Emiliania	Emiliania huxleyi	Archibald 2018
MMETSP0996	379	Haptophytes	Haptophyta	Coccolithophyceae	Isochrysidales	Noelhaerhabdaceae	Emiliania	Emiliania huxleyi	Archibald 2018
MMETSP0997	379	Haptophytes	Haptophyta	Coccolithophyceae	Isochrysidales	Noelhaerhabdaceae	Emiliania	Emiliania huxleyi	Archibald 2018
MMETSP1006	374	Haptophytes	Haptophyta	Coccolithophyceae	Isochrysidales	Noelhaerhabdaceae	Emiliania	Emiliania huxleyi	Archibald 2018
MMETSP1007	374	Haptophytes	Haptophyta	Coccolithophyceae	Isochrysidales	Noelhaerhabdaceae	Emiliania	Emiliania huxleyi	Archibald 2018
MMETSP1008	374	Haptophytes	Haptophyta	Coccolithophyceae	Isochrysidales	Noelhaerhabdaceae	Emiliania	Emiliania huxleyi	Archibald 2018
MMETSP1009	374	Haptophytes	Haptophyta	Coccolithophyceae	Isochrysidales	Noelhaerhabdaceae	Emiliania	Emiliania huxleyi	Archibald 2018
MMETSP1150	PLY M219	Haptophytes	Haptophyta	Coccolithophyceae	Isochrysidales	Noelhaerhabdaceae	Emiliania	Emiliania huxleyi	Archibald 2018
MMETSP1151	PLY M219	Haptophytes	Haptophyta	Coccolithophyceae	Isochrysidales	Noelhaerhabdaceae	Emiliania	Emiliania huxleyi	Archibald 2018
MMETSP1152	PLY M219	Haptophytes	Haptophyta	Coccolithophyceae	Isochrysidales	Noelhaerhabdaceae	Emiliania	Emiliania huxleyi	Archibald 2018
MMETSP1153	PLY M219	Haptophytes	Haptophyta	Coccolithophyceae	Isochrysidales	Noelhaerhabdaceae	Emiliania	Emiliania huxleyi	Archibald 2018
MMETSP1154	CCMP370	Haptophytes	Haptophyta	Coccolithophyceae	Isochrysidales	Noelhaerhabdaceae	Emiliania	Emiliania huxleyi	Archibald 2018
MMETSP1155	CCMP370	Haptophytes	Haptophyta	Coccolithophyceae	Isochrysidales	Noelhaerhabdaceae	Emiliania	Emiliania huxleyi	Archibald 2018
MMETSP1156	CCMP370	Haptophytes	Haptophyta	Coccolithophyceae	Isochrysidales	Noelhaerhabdaceae	Emiliania	Emiliania huxleyi	Archibald 2018
MMETSP1157	CCMP370	Haptophytes	Haptophyta	Coccolithophyceae	Isochrysidales	Noelhaerhabdaceae	Emiliania	Emiliania huxleyi	Archibald 2018
MMETSP1363	RCC1303	Haptophytes	Haptophyta	Coccolithophyceae	Isochrysidales	Noelhaerhabdaceae	Gephyrocapsa	Gephyrocapsa oceanica	Archibald 2018
MMETSP1364	RCC1303	Haptophytes	Haptophyta	Coccolithophyceae	Isochrysidales	Noelhaerhabdaceae	Gephyrocapsa	Gephyrocapsa oceanica	Archibald 2018
MMETSP1365	RCC1303	Haptophytes	Haptophyta	Coccolithophyceae	Isochrysidales	Noelhaerhabdaceae	Gephyrocapsa	Gephyrocapsa oceanica	Archibald 2018
MMETSP1366	RCC1303	Haptophytes	Haptophyta	Coccolithophyceae	Isochrysidales	Noelhaerhabdaceae	Gephyrocapsa	Gephyrocapsa oceanica	Archibald 2018
MMETSP1100	Caron Lab Isolate	Haptophytes	Haptophyta	Coccolithophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica	Archibald 2018, Karsten 1905
MMETSP1444	CCMP1374	Haptophytes	Haptophyta	Coccolithophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica	Archibald 2018, Karsten 1905
MMETSP1465	RCC1383	Haptophytes	Haptophyta	Coccolithophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis cordata	Archibald 2018, Karsten 1905
MMETSP1162	CCMP2710	Haptophytes	Haptophyta	Coccolithophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis Sp	Archibald 2018, Karsten 1905
MMETSP1094	UTEX LB 985	Haptophytes	Haptophyta	Coccolithophyceae	Prymnesiales	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina brevifilum	Archibald 2018
MMETSP1096	CCMP281	Haptophytes	Haptophyta	Coccolithophyceae	Prymnesiales	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina ericina	Archibald 2018
MMETSP0143	CCMP1757	Haptophytes	Haptophyta	Coccolithophyceae	Prymnesiales	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina polylepis	Archibald 2018
MMETSP0145	CCMP1757	Haptophytes	Haptophyta	Coccolithophyceae	Prymnesiales	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina polylepis	Archibald 2018
MMETSP0146	CCMP1757	Haptophytes	Haptophyta	Coccolithophyceae	Prymnesiales	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina polylepis	Archibald 2018
MMETSP0147	CCMP1757	Haptophytes	Haptophyta	Coccolithophyceae	Prymnesiales	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina polylepis	Archibald 2018
MMETSP0286	UIO037	Haptophytes	Haptophyta	Coccolithophyceae	Prymnesiales	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina polylepis	Archibald 2018
MMETSP0287	UIO044	Haptophytes	Haptophyta	Coccolithophyceae	Prymnesiales	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina rotalis	Archibald 2018
MMETSP1335	RCC1486	Haptophytes	Haptophyta	Coccolithophyceae	Prymnesiales	Prymnesiaceae	Chrysoculter	Chrysoculter rhomboideus	Archibald 2018
MMETSP1474	RCC918	Haptophytes	Haptophyta	Coccolithophyceae	Prymnesiales	Prymnesiaceae	Imantonia	Imantonia sp.	Archibald 2018
MMETSP0006	Texoma1	Haptophytes	Haptophyta	Coccolithophyceae	Prymnesiales	Prymnesiaceae	Prymnesium	Prymnesium parvum	Archibald 2018
MMETSP0007	Texoma1	Haptophytes	Haptophyta	Coccolithophyceae	Prymnesiales	Prymnesiaceae	Prymnesium	Prymnesium parvum	Archibald 2018
MMETSP0008	Texoma1	Haptophytes	Haptophyta	Coccolithophyceae	Prymnesiales	Prymnesiaceae	Prymnesium	Prymnesium parvum	Archibald 2018
MMETSP0814	Texoma1	Haptophytes	Haptophyta	Coccolithophyceae	Prymnesiales	Prymnesiaceae	Prymnesium	Prymnesium parvum	Archibald 2018
MMETSP0815	Texoma1	Haptophytes	Haptophyta	Coccolithophyceae	Prymnesiales	Prymnesiaceae	Prymnesium	Prymnesium parvum	Archibald 2018
MMETSP1083	Texoma1	Haptophytes	Haptophyta	Coccolithophyceae	Prymnesiales	Prymnesiaceae	Prymnesium	Prymnesium parvum	Archibald 2018
MMETSP0982	CCMP 2436	Haptophytes	Haptophyta	Coccolithophyceae	Prymnesiales	Uncertain	Uncertain	Uncertain	Not described
MMETSP0983	CCMP 2436	Haptophytes	Haptophyta	Coccolithophyceae	Prymnesiales	Uncertain	Uncertain	Uncertain	Not described
MMETSP0984	CCMP 2436	Haptophytes	Haptophyta	Coccolithophyceae	Prymnesiales	Uncertain	Uncertain	Uncertain	Not described
MMETSP0985	CCMP 2436	Haptophytes	Haptophyta	Coccolithophyceae	Prymnesiales	Uncertain	Uncertain	Uncertain	Not described
MMETSP1178	CCMP2000	Haptophytes	Haptophyta	Coccolithophyceae	Prymnesiales	Uncertain	Uncertain	Uncertain	Not described
MMETSP1333	RCC1455	Haptophytes	Haptophyta	Coccolithophyceae	Zygodiscales	Pontosphaeraceae	Scyphosphaera	Scyphosphaera apsteinii	Archibald 2018, Lohmann, 1902
MMETSP1464	RCC1523	Haptophytes	Haptophyta	Pavlovophyceae	Pavlovales	Pavlovaceae	Exanthemachrysis	Exanthemachrysis gayraliae	Archibald 2018, H.Lepailleur 1970
MMETSP1466	CCMP608	Haptophytes	Haptophyta	Pavlovophyceae	Pavlovales	Pavlovaceae	Pavlova	Pavlova gyrans	Archibald 2018, J.C.Green 1975
MMETSP1463	RCC1537	Haptophytes	Haptophyta	Pavlovophyceae	Pavlovales	Pavlovaceae	Pavlova	Pavlova lutheri	Archibald 2018, J.C.Green 1975
MMETSP1139	CCMP459	Haptophytes	Haptophyta	Pavlovophyceae	Pavlovales	Pavlovaceae	Pavlova	Pavlova sp.	Archibald 2018, J.C.Green 1975
MMETSP1140	CCMP459	Haptophytes	Haptophyta	Pavlovophyceae	Pavlovales	Pavlovaceae	Pavlova	Pavlova sp.	Archibald 2018, J.C.Green 1975
MMETSP1381	CCMP459	Haptophytes	Haptophyta	Pavlovophyceae	Pavlovales	Pavlovaceae	Pavlova	Pavlova sp.	Archibald 2018, J.C.Green 1975
MMETSP0105	10tr	Opisthokont	Choanoflagellatea	Acanthoecida	Acanthoecidae	Incertae sedis	Acanthoeca-like	Acanthoeca-like sp.	Archibald 2018
MMETSP0106	10tr	Opisthokont	Choanoflagellatea	Acanthoecida	Acanthoecidae	Incertae sedis	Acanthoeca-like	Acanthoeca-like sp.	Archibald 2018
AddRef0022	MX1	Opisthokont	Choanoflagellatea	Craspedida	Salpingoecidae	Incertae sedis	Monosiga	Monosiga brevicollis	Archibald 2018
AddRef0038	ATCC50818	Opisthokont	Choanoflagellatea	Craspedida	Salpingoecidae	Incertae sedis	Salpingoeca	Salpingoeca rosetta	Archibald 2018
AddRef0006	JAM81	Opisthokont	Fungi	Chrytridiomycetes	Rhizophydiales	Incertae sedis	Batrachochytrium	Batrachochytrium dendrobatidis	Archibald 2018
AddRef0017	CBS767	Opisthokont	Fungi	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Debaryomyces	Debaryomyces hansenii	Lodder & Kreger-van Rij, 1984
MMETSP0232	J26	Opisthokont	Fungi	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Debaryomyces	Debaryomyces hansenii	World Register of Marine Species
MMETSP0233	J26	Opisthokont	Fungi	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Debaryomyces	Debaryomyces hansenii	World Register of Marine Species
MMETSP0234	J26	Opisthokont	Fungi	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Debaryomyces	Debaryomyces hansenii	World Register of Marine Species
MMETSP0235	J26	Opisthokont	Fungi	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Debaryomyces	Debaryomyces hansenii	World Register of Marine Species
AddRef0013	Uncertain	Opisthokont	Fungi	Sordariomycetes	Incertae sedis	Incertae sedis	Corollospora	Corollospora maritime	World Register of Marine Species
AddRef0036	JCM 10317	Opisthokont	Fungi	Ustilaginomycetes	Incertae sedis	Incertae sedis	Pseudozyma	Pseudozyma antarctica	World Register of Marine Species
AddRef0026	CH2 x CH6	Opisthokont	Metazoa	Anthozoa	Actiniaria	Edwardsiidae	Nematostella	Nematostella vectensis	World Register of Marine Species
AddRef0027	Uncertain	Opisthokont	Metazoa	Appendicularia	Copelata	Oikopleuridae	Oikopleura	Oikopleura dioica	World Register of Marine Species
AddRef0014	05x7-T-G4-1.051#20	Opisthokont	Metazoa	Bivalvia	Ostreida	Ostreidae	Crassostrea	Crassostrea gigas	World Register of Marine Species
AddRef0016	Uncertain	Opisthokont	Metazoa	Crustacea	Anomopoda	Daphniidae	Daphnia	Daphnia pulex	World Register of Marine Species
AddRef0008	Uncertain	Opisthokont	Metazoa	Crustacea	Copepoda	Calanidae	Calanus	Calanus finmarchicus	World Register of Marine Species
AddRef0045	Uncertain	Opisthokont	Metazoa	Crustacea	Copepoda	Harpacticidae	Tigriopus	Tigriopus californicus	World Register of Marine Species
AddRef0003	Uncertain	Opisthokont	Metazoa	Demospongiae	Haplosclerida	Niphatidae	Amphimedon	Amphimedon queenslandica	World Register of Marine Species
AddRef0040	Uncertain	Opisthokont	Metazoa	Echinoidea	Camarodonta	Strongylocentrotidae	Strongylocentrotus	Strongylocentrotus purpuratus	World Register of Marine Species
AddRef0020	Uncertain	Opisthokont	Metazoa	Gastropoda	Lottioidea	Lottiidae	Lottia	Lottia gigantea	World Register of Marine Species
AddRef0044	Uncertain	Opisthokont	Metazoa	Myxozoa	Bibalvulida	Myxobolidae	Thelohanellus	Thelohanellus kitauei	World Register of Marine Species
AddRef0009	Uncertain	Opisthokont	Metazoa	Polychaeta	Sedentaria	Capitellidae	Capitella	Capitella teleta	World Register of Marine Species
AddRef0035	Uncertain	Opisthokont	Metazoa	Tentaculata	Cydippida	Pleurobrachiidae	Pleurobrachia	Pleurobrachia bachei	World Register of Marine Species
AddRef0021	Uncertain	Opisthokont	Metazoa	Tentaculata	Lobata	Bolinopsidae	Mnemiopsis	Mnemiopsis leidyi	World Register of Marine Species
MMETSP1359	CCMP242	Rhizaria	Cercozoa	Filosa	Chlorarachniophyta	Chlorarachniophyceae	Bigelowiella	Bigelowiella longifila	Archibald 2018
AddRef0007	CCMP621	Rhizaria	Cercozoa	Filosa	Chlorarachniophyta	Chlorarachniophyceae	Bigelowiella	Bigelowiella natans	Archibald 2018
MMETSP0045	CCMP 2755	Rhizaria	Cercozoa	Filosa	Chlorarachniophyta	Chlorarachniophyceae	Bigelowiella	Bigelowiella natans	Archibald 2018
MMETSP1052	CCMP623	Rhizaria	Cercozoa	Filosa	Chlorarachniophyta	Chlorarachniophyceae	Bigelowiella	Bigelowiella natans	Archibald 2018
MMETSP1054	CCMP1259	Rhizaria	Cercozoa	Filosa	Chlorarachniophyta	Chlorarachniophyceae	Bigelowiella	Bigelowiella natans	Archibald 2018
MMETSP1055	CCMP1258.1	Rhizaria	Cercozoa	Filosa	Chlorarachniophyta	Chlorarachniophyceae	Bigelowiella	Bigelowiella natans	Archibald 2018
